method,condition,n_success,success_rate,collision_rate,failure_rate,collision_rate_per_km,failure_rate_per_km,distance_to_failure_m,completion_rate,distance_traveled_m,mean_speed_kph,mean_front_gap_m,min_front_gap_m,min_ttc_s,ttc_under_1s_rate,ttc_under_2s_rate,min_rss_margin_lon_m,rss_lon_violation_rate,success_mean_abs_lateral_error_m,success_max_abs_lateral_error_m,all_mean_abs_lateral_error_m,all_max_abs_lateral_error_m
Base MPC,L1 clear,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,100.0%,12161.0,59.60 +/- 14.95,23.53 +/- 4.47,18.05 +/- 2.47,4.32 +/- 0.44,0.00 +/- 0.00,0.00 +/- 0.00,n/a,0.00 +/- 0.00,0.0195 +/- 0.0112,0.0814 +/- 0.0332,0.0195 +/- 0.0112,0.0814 +/- 0.0332
Base MPC,L2 fog,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,100.0%,12157.0,59.56 +/- 14.99,23.75 +/- 4.10,18.29 +/- 2.47,4.28 +/- 0.47,0.00 +/- 0.00,0.00 +/- 0.00,n/a,0.00 +/- 0.00,0.0195 +/- 0.0113,0.0823 +/- 0.0315,0.0195 +/- 0.0113,0.0823 +/- 0.0315
Base MPC,L3 night strong,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,100.0%,12159.6,59.56 +/- 14.95,23.74 +/- 4.17,18.24 +/- 2.42,4.24 +/- 0.43,0.00 +/- 0.00,0.00 +/- 0.00,n/a,0.00 +/- 0.00,0.0195 +/- 0.0113,0.0842 +/- 0.0285,0.0195 +/- 0.0113,0.0842 +/- 0.0285
Base MPC,L4 night partial,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,100.0%,12158.6,59.57 +/- 14.97,23.76 +/- 4.16,18.30 +/- 2.43,4.28 +/- 0.34,0.00 +/- 0.00,0.00 +/- 0.00,n/a,0.00 +/- 0.00,0.0194 +/- 0.0112,0.0825 +/- 0.0302,0.0194 +/- 0.0112,0.0825 +/- 0.0302
Base MPC,L5 night none,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,100.0%,12158.1,59.62 +/- 14.94,23.65 +/- 4.23,18.08 +/- 2.40,4.33 +/- 0.45,0.00 +/- 0.00,0.00 +/- 0.00,n/a,0.00 +/- 0.00,0.0192 +/- 0.0115,0.0817 +/- 0.0315,0.0192 +/- 0.0115,0.0817 +/- 0.0315
RSS-MPC Fixed,L1 clear,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,100.0%,12158.1,59.72 +/- 14.35,23.83 +/- 6.31,18.86 +/- 3.05,5.77 +/- 0.36,0.00 +/- 0.00,0.00 +/- 0.00,-4.86 +/- 2.75,18.63 +/- 6.92,0.0191 +/- 0.0108,0.0775 +/- 0.0331,0.0191 +/- 0.0108,0.0775 +/- 0.0331
RSS-MPC Fixed,L2 fog,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,100.0%,12160.2,59.74 +/- 14.35,23.92 +/- 6.22,18.87 +/- 3.13,5.71 +/- 0.41,0.00 +/- 0.00,0.00 +/- 0.00,-4.99 +/- 2.63,18.54 +/- 6.45,0.0185 +/- 0.0107,0.0747 +/- 0.0321,0.0185 +/- 0.0107,0.0747 +/- 0.0321
RSS-MPC Fixed,L3 night strong,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,100.0%,12157.7,59.73 +/- 14.36,23.97 +/- 6.12,18.91 +/- 3.05,5.79 +/- 0.42,0.00 +/- 0.00,0.00 +/- 0.00,-5.13 +/- 2.49,18.23 +/- 7.02,0.0189 +/- 0.0106,0.0763 +/- 0.0343,0.0189 +/- 0.0106,0.0763 +/- 0.0343
RSS-MPC Fixed,L4 night partial,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,100.0%,12158.6,59.72 +/- 14.36,23.88 +/- 6.16,18.91 +/- 3.12,5.81 +/- 0.47,0.00 +/- 0.00,0.00 +/- 0.00,-5.01 +/- 2.92,19.03 +/- 7.52,0.0189 +/- 0.0109,0.0775 +/- 0.0353,0.0189 +/- 0.0109,0.0775 +/- 0.0353
RSS-MPC Fixed,L5 night none,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,100.0%,12159.6,59.73 +/- 14.36,23.84 +/- 6.17,18.94 +/- 3.05,5.83 +/- 0.46,0.00 +/- 0.00,0.00 +/- 0.00,-5.15 +/- 3.03,18.36 +/- 6.20,0.0187 +/- 0.0108,0.0795 +/- 0.0349,0.0187 +/- 0.0108,0.0795 +/- 0.0349
RSS-MPC GT,L1 clear,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,100.0%,12159.3,59.74 +/- 14.36,23.93 +/- 6.23,18.95 +/- 3.08,5.82 +/- 0.42,0.00 +/- 0.00,0.00 +/- 0.00,-4.99 +/- 2.39,18.51 +/- 6.69,0.0190 +/- 0.0108,0.0773 +/- 0.0344,0.0190 +/- 0.0108,0.0773 +/- 0.0344
