town,speed,scenario_id,scenario_label,n_steps,n_vlm_calls,calls_per_100_steps,deadline_missed_rate,mean_inference_ms,active_step_rate,road_surface_accuracy,weather_accuracy,time_of_day_accuracy,illumination_assistance_accuracy,overall_accuracy
town03,40kph,L1_clear_day,L1 clear day,1936,48,2.5,0.0%,1200,95.8%,100.0%,100.0%,100.0%,100.0%,100.0%
town03,40kph,L2_fog_day,L2 fog day,2018,51,2.5,0.0%,1232,96.1%,100.0%,100.0%,100.0%,100.0%,100.0%
town03,40kph,L3_clear_night_strong,L3 night strong,2007,51,2.5,0.0%,1230,96.6%,90.2%,100.0%,100.0%,100.0%,90.2%
town03,40kph,L4_clear_night_weak,L4 night weak,2028,51,2.5,0.0%,1198,96.2%,94.1%,100.0%,100.0%,100.0%,94.1%
town03,40kph,L5_clear_night_none,L5 night none,2052,51,2.5,0.0%,1189,96.2%,96.1%,100.0%,100.0%,100.0%,96.1%
town03,50kph,L1_clear_day,L1 clear day,1610,39,2.4,0.0%,1193,95.3%,100.0%,100.0%,100.0%,100.0%,100.0%
town03,50kph,L2_fog_day,L2 fog day,1693,42,2.5,0.0%,1232,95.3%,100.0%,100.0%,100.0%,100.0%,100.0%
town03,50kph,L3_clear_night_strong,L3 night strong,1690,42,2.5,0.0%,1222,95.9%,95.2%,100.0%,100.0%,100.0%,95.2%
town03,50kph,L4_clear_night_weak,L4 night weak,1714,42,2.5,0.0%,1198,95.5%,88.1%,100.0%,100.0%,100.0%,88.1%
town03,50kph,L5_clear_night_none,L5 night none,1726,42,2.4,0.0%,1189,95.6%,97.6%,100.0%,100.0%,100.0%,97.6%
town03,60kph,L1_clear_day,L1 clear day,1400,36,2.6,0.0%,1193,94.8%,100.0%,100.0%,100.0%,100.0%,100.0%
town03,60kph,L2_fog_day,L2 fog day,1489,36,2.4,0.0%,1241,94.6%,100.0%,100.0%,100.0%,100.0%,100.0%
town03,60kph,L3_clear_night_strong,L3 night strong,1489,36,2.4,0.0%,1443,94.8%,97.2%,100.0%,100.0%,100.0%,97.2%
town03,60kph,L4_clear_night_weak,L4 night weak,1503,36,2.4,0.0%,1489,93.8%,86.1%,100.0%,100.0%,100.0%,86.1%
town03,60kph,L5_clear_night_none,L5 night none,1518,36,2.4,0.0%,1479,93.9%,97.2%,100.0%,100.0%,100.0%,97.2%
town04,70kph,L1_clear_day,L1 clear day,3300,81,2.5,0.0%,1478,97.4%,100.0%,100.0%,100.0%,100.0%,100.0%
town04,70kph,L2_fog_day,L2 fog day,3390,84,2.5,0.0%,1534,97.2%,100.0%,100.0%,100.0%,100.0%,100.0%
town04,70kph,L3_clear_night_strong,L3 night strong,3388,84,2.5,0.0%,1510,98.1%,91.7%,100.0%,100.0%,100.0%,91.7%
town04,70kph,L4_clear_night_weak,L4 night weak,3414,84,2.5,0.0%,1480,97.4%,97.6%,100.0%,100.0%,100.0%,97.6%
town04,70kph,L5_clear_night_none,L5 night none,3416,84,2.5,0.0%,1467,97.4%,100.0%,100.0%,100.0%,100.0%,100.0%
town04,80kph,L1_clear_day,L1 clear day,2946,74,2.5,0.0%,1357,97.3%,100.0%,100.0%,100.0%,100.0%,100.0%
town04,80kph,L2_fog_day,L2 fog day,3021,75,2.5,0.0%,1236,97.5%,100.0%,100.0%,100.0%,100.0%,100.0%
town04,80kph,L3_clear_night_strong,L3 night strong,2533,63,2.5,0.0%,1227,97.9%,90.5%,100.0%,100.0%,100.0%,90.5%
town04,80kph,L4_clear_night_weak,L4 night weak,3035,75,2.5,0.0%,1193,97.6%,100.0%,100.0%,100.0%,100.0%,100.0%
town04,80kph,L5_clear_night_none,L5 night none,3051,75,2.5,0.0%,1185,97.6%,100.0%,100.0%,100.0%,100.0%,100.0%
town04,90kph,L1_clear_day,L1 clear day,2711,66,2.4,0.0%,1207,97.3%,100.0%,100.0%,100.0%,100.0%,100.0%
town04,90kph,L2_fog_day,L2 fog day,2782,69,2.5,0.0%,1248,97.2%,100.0%,100.0%,100.0%,100.0%,100.0%
town04,90kph,L3_clear_night_strong,L3 night strong,2363,58,2.5,0.0%,1241,97.7%,91.4%,100.0%,100.0%,100.0%,91.4%
town04,90kph,L4_clear_night_weak,L4 night weak,2792,69,2.5,0.0%,1206,97.4%,100.0%,100.0%,100.0%,100.0%,100.0%
town04,90kph,L5_clear_night_none,L5 night none,2808,69,2.5,0.0%,1195,97.4%,100.0%,100.0%,100.0%,100.0%,100.0%
