field,town,speed,scenario_id,scenario_label,expected,predicted,correct,count
illumination_assistance,town03,40kph,L1_clear_day,L1 clear day,none,none,yes,48
illumination_assistance,town03,40kph,L2_fog_day,L2 fog day,none,none,yes,51
illumination_assistance,town03,40kph,L3_clear_night_strong,L3 night strong,strong,strong,yes,51
illumination_assistance,town03,40kph,L4_clear_night_weak,L4 night weak,partial,partial,yes,51
illumination_assistance,town03,40kph,L5_clear_night_none,L5 night none,none,none,yes,51
illumination_assistance,town03,50kph,L1_clear_day,L1 clear day,none,none,yes,39
illumination_assistance,town03,50kph,L2_fog_day,L2 fog day,none,none,yes,42
illumination_assistance,town03,50kph,L3_clear_night_strong,L3 night strong,strong,strong,yes,42
illumination_assistance,town03,50kph,L4_clear_night_weak,L4 night weak,partial,partial,yes,42
illumination_assistance,town03,50kph,L5_clear_night_none,L5 night none,none,none,yes,42
illumination_assistance,town03,60kph,L1_clear_day,L1 clear day,none,none,yes,36
illumination_assistance,town03,60kph,L2_fog_day,L2 fog day,none,none,yes,36
illumination_assistance,town03,60kph,L3_clear_night_strong,L3 night strong,strong,strong,yes,36
illumination_assistance,town03,60kph,L4_clear_night_weak,L4 night weak,partial,partial,yes,36
illumination_assistance,town03,60kph,L5_clear_night_none,L5 night none,none,none,yes,36
illumination_assistance,town04,70kph,L1_clear_day,L1 clear day,none,none,yes,81
illumination_assistance,town04,70kph,L2_fog_day,L2 fog day,none,none,yes,84
illumination_assistance,town04,70kph,L3_clear_night_strong,L3 night strong,strong,strong,yes,84
illumination_assistance,town04,70kph,L4_clear_night_weak,L4 night weak,partial,partial,yes,84
illumination_assistance,town04,70kph,L5_clear_night_none,L5 night none,none,none,yes,84
illumination_assistance,town04,80kph,L1_clear_day,L1 clear day,none,none,yes,74
illumination_assistance,town04,80kph,L2_fog_day,L2 fog day,none,none,yes,75
illumination_assistance,town04,80kph,L3_clear_night_strong,L3 night strong,strong,strong,yes,63
illumination_assistance,town04,80kph,L4_clear_night_weak,L4 night weak,partial,partial,yes,75
illumination_assistance,town04,80kph,L5_clear_night_none,L5 night none,none,none,yes,75
illumination_assistance,town04,90kph,L1_clear_day,L1 clear day,none,none,yes,66
illumination_assistance,town04,90kph,L2_fog_day,L2 fog day,none,none,yes,69
illumination_assistance,town04,90kph,L3_clear_night_strong,L3 night strong,strong,strong,yes,58
illumination_assistance,town04,90kph,L4_clear_night_weak,L4 night weak,partial,partial,yes,69
illumination_assistance,town04,90kph,L5_clear_night_none,L5 night none,none,none,yes,69
road_surface,town03,40kph,L1_clear_day,L1 clear day,dry,dry,yes,48
road_surface,town03,40kph,L2_fog_day,L2 fog day,dry,dry,yes,51
road_surface,town03,40kph,L3_clear_night_strong,L3 night strong,dry,dry,yes,46
road_surface,town03,40kph,L3_clear_night_strong,L3 night strong,dry,snow_slush,no,5
road_surface,town03,40kph,L4_clear_night_weak,L4 night weak,dry,dry,yes,48
road_surface,town03,40kph,L4_clear_night_weak,L4 night weak,dry,snow_slush,no,1
road_surface,town03,40kph,L4_clear_night_weak,L4 night weak,dry,wet,no,2
road_surface,town03,40kph,L5_clear_night_none,L5 night none,dry,dry,yes,49
road_surface,town03,40kph,L5_clear_night_none,L5 night none,dry,wet,no,2
road_surface,town03,50kph,L1_clear_day,L1 clear day,dry,dry,yes,39
road_surface,town03,50kph,L2_fog_day,L2 fog day,dry,dry,yes,42
road_surface,town03,50kph,L3_clear_night_strong,L3 night strong,dry,dry,yes,40
road_surface,town03,50kph,L3_clear_night_strong,L3 night strong,dry,snow_slush,no,2
road_surface,town03,50kph,L4_clear_night_weak,L4 night weak,dry,dry,yes,37
road_surface,town03,50kph,L4_clear_night_weak,L4 night weak,dry,snow_slush,no,1
road_surface,town03,50kph,L4_clear_night_weak,L4 night weak,dry,wet,no,4
road_surface,town03,50kph,L5_clear_night_none,L5 night none,dry,dry,yes,41
road_surface,town03,50kph,L5_clear_night_none,L5 night none,dry,wet,no,1
road_surface,town03,60kph,L1_clear_day,L1 clear day,dry,dry,yes,36
road_surface,town03,60kph,L2_fog_day,L2 fog day,dry,dry,yes,36
road_surface,town03,60kph,L3_clear_night_strong,L3 night strong,dry,dry,yes,35
road_surface,town03,60kph,L3_clear_night_strong,L3 night strong,dry,snow_slush,no,1
road_surface,town03,60kph,L4_clear_night_weak,L4 night weak,dry,dry,yes,31
road_surface,town03,60kph,L4_clear_night_weak,L4 night weak,dry,wet,no,5
road_surface,town03,60kph,L5_clear_night_none,L5 night none,dry,dry,yes,35
road_surface,town03,60kph,L5_clear_night_none,L5 night none,dry,wet,no,1
road_surface,town04,70kph,L1_clear_day,L1 clear day,dry,dry,yes,81
road_surface,town04,70kph,L2_fog_day,L2 fog day,dry,dry,yes,84
road_surface,town04,70kph,L3_clear_night_strong,L3 night strong,dry,dry,yes,77
road_surface,town04,70kph,L3_clear_night_strong,L3 night strong,dry,snow_slush,no,7
road_surface,town04,70kph,L4_clear_night_weak,L4 night weak,dry,dry,yes,82
road_surface,town04,70kph,L4_clear_night_weak,L4 night weak,dry,snow_slush,no,2
road_surface,town04,70kph,L5_clear_night_none,L5 night none,dry,dry,yes,84
road_surface,town04,80kph,L1_clear_day,L1 clear day,dry,dry,yes,74
road_surface,town04,80kph,L2_fog_day,L2 fog day,dry,dry,yes,75
road_surface,town04,80kph,L3_clear_night_strong,L3 night strong,dry,dry,yes,57
road_surface,town04,80kph,L3_clear_night_strong,L3 night strong,dry,snow_slush,no,6
road_surface,town04,80kph,L4_clear_night_weak,L4 night weak,dry,dry,yes,75
road_surface,town04,80kph,L5_clear_night_none,L5 night none,dry,dry,yes,75
road_surface,town04,90kph,L1_clear_day,L1 clear day,dry,dry,yes,66
road_surface,town04,90kph,L2_fog_day,L2 fog day,dry,dry,yes,69
road_surface,town04,90kph,L3_clear_night_strong,L3 night strong,dry,dry,yes,53
road_surface,town04,90kph,L3_clear_night_strong,L3 night strong,dry,snow_slush,no,5
road_surface,town04,90kph,L4_clear_night_weak,L4 night weak,dry,dry,yes,69
road_surface,town04,90kph,L5_clear_night_none,L5 night none,dry,dry,yes,69
time_of_day,town03,40kph,L1_clear_day,L1 clear day,day,day,yes,48
time_of_day,town03,40kph,L2_fog_day,L2 fog day,day,day,yes,51
time_of_day,town03,40kph,L3_clear_night_strong,L3 night strong,night,night,yes,51
time_of_day,town03,40kph,L4_clear_night_weak,L4 night weak,night,night,yes,51
time_of_day,town03,40kph,L5_clear_night_none,L5 night none,night,night,yes,51
time_of_day,town03,50kph,L1_clear_day,L1 clear day,day,day,yes,39
time_of_day,town03,50kph,L2_fog_day,L2 fog day,day,day,yes,42
time_of_day,town03,50kph,L3_clear_night_strong,L3 night strong,night,night,yes,42
time_of_day,town03,50kph,L4_clear_night_weak,L4 night weak,night,night,yes,42
time_of_day,town03,50kph,L5_clear_night_none,L5 night none,night,night,yes,42
time_of_day,town03,60kph,L1_clear_day,L1 clear day,day,day,yes,36
time_of_day,town03,60kph,L2_fog_day,L2 fog day,day,day,yes,36
time_of_day,town03,60kph,L3_clear_night_strong,L3 night strong,night,night,yes,36
time_of_day,town03,60kph,L4_clear_night_weak,L4 night weak,night,night,yes,36
time_of_day,town03,60kph,L5_clear_night_none,L5 night none,night,night,yes,36
time_of_day,town04,70kph,L1_clear_day,L1 clear day,day,day,yes,81
time_of_day,town04,70kph,L2_fog_day,L2 fog day,day,day,yes,84
time_of_day,town04,70kph,L3_clear_night_strong,L3 night strong,night,night,yes,84
time_of_day,town04,70kph,L4_clear_night_weak,L4 night weak,night,night,yes,84
time_of_day,town04,70kph,L5_clear_night_none,L5 night none,night,night,yes,84
time_of_day,town04,80kph,L1_clear_day,L1 clear day,day,day,yes,74
time_of_day,town04,80kph,L2_fog_day,L2 fog day,day,day,yes,75
time_of_day,town04,80kph,L3_clear_night_strong,L3 night strong,night,night,yes,63
time_of_day,town04,80kph,L4_clear_night_weak,L4 night weak,night,night,yes,75
time_of_day,town04,80kph,L5_clear_night_none,L5 night none,night,night,yes,75
time_of_day,town04,90kph,L1_clear_day,L1 clear day,day,day,yes,66
time_of_day,town04,90kph,L2_fog_day,L2 fog day,day,day,yes,69
time_of_day,town04,90kph,L3_clear_night_strong,L3 night strong,night,night,yes,58
time_of_day,town04,90kph,L4_clear_night_weak,L4 night weak,night,night,yes,69
time_of_day,town04,90kph,L5_clear_night_none,L5 night none,night,night,yes,69
weather,town03,40kph,L1_clear_day,L1 clear day,clear,clear,yes,48
weather,town03,40kph,L2_fog_day,L2 fog day,dense_fog,dense_fog,yes,51
weather,town03,40kph,L3_clear_night_strong,L3 night strong,clear,clear,yes,51
weather,town03,40kph,L4_clear_night_weak,L4 night weak,clear,clear,yes,51
weather,town03,40kph,L5_clear_night_none,L5 night none,clear,clear,yes,51
weather,town03,50kph,L1_clear_day,L1 clear day,clear,clear,yes,39
weather,town03,50kph,L2_fog_day,L2 fog day,dense_fog,dense_fog,yes,42
weather,town03,50kph,L3_clear_night_strong,L3 night strong,clear,clear,yes,42
weather,town03,50kph,L4_clear_night_weak,L4 night weak,clear,clear,yes,42
weather,town03,50kph,L5_clear_night_none,L5 night none,clear,clear,yes,42
weather,town03,60kph,L1_clear_day,L1 clear day,clear,clear,yes,36
weather,town03,60kph,L2_fog_day,L2 fog day,dense_fog,dense_fog,yes,36
weather,town03,60kph,L3_clear_night_strong,L3 night strong,clear,clear,yes,36
weather,town03,60kph,L4_clear_night_weak,L4 night weak,clear,clear,yes,36
weather,town03,60kph,L5_clear_night_none,L5 night none,clear,clear,yes,36
weather,town04,70kph,L1_clear_day,L1 clear day,clear,clear,yes,81
weather,town04,70kph,L2_fog_day,L2 fog day,dense_fog,dense_fog,yes,84
weather,town04,70kph,L3_clear_night_strong,L3 night strong,clear,clear,yes,84
weather,town04,70kph,L4_clear_night_weak,L4 night weak,clear,clear,yes,84
weather,town04,70kph,L5_clear_night_none,L5 night none,clear,clear,yes,84
weather,town04,80kph,L1_clear_day,L1 clear day,clear,clear,yes,74
weather,town04,80kph,L2_fog_day,L2 fog day,dense_fog,dense_fog,yes,75
weather,town04,80kph,L3_clear_night_strong,L3 night strong,clear,clear,yes,63
weather,town04,80kph,L4_clear_night_weak,L4 night weak,clear,clear,yes,75
weather,town04,80kph,L5_clear_night_none,L5 night none,clear,clear,yes,75
weather,town04,90kph,L1_clear_day,L1 clear day,clear,clear,yes,66
weather,town04,90kph,L2_fog_day,L2 fog day,dense_fog,dense_fog,yes,69
weather,town04,90kph,L3_clear_night_strong,L3 night strong,clear,clear,yes,58
weather,town04,90kph,L4_clear_night_weak,L4 night weak,clear,clear,yes,69
weather,town04,90kph,L5_clear_night_none,L5 night none,clear,clear,yes,69
