scenario,controller,n_success,success_rate,collision_rate,failure_rate,collision_rate_per_km,failure_rate_per_km,distance_to_failure_m,completion_rate,distance_traveled_m,mean_speed_kph,mean_front_gap_m,min_front_gap_m,min_ttc_s,ttc_under_1s_rate,ttc_under_2s_rate,min_rss_margin_lon_m,rss_lon_violation_rate,success_mean_abs_lateral_error_m,success_max_abs_lateral_error_m,all_mean_abs_lateral_error_m,all_max_abs_lateral_error_m
C1 dry,RSS-MPC Fixed,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,100.0%,5962.1,40.02 +/- 10.33,29.38 +/- 8.26,2.89 +/- 0.08,2.72 +/- 0.21,0.00 +/- 0.00,0.00 +/- 0.00,1.92 +/- 0.07,0.00 +/- 0.00,0.0070 +/- 0.0040,0.0389 +/- 0.0210,0.0070 +/- 0.0040,0.0389 +/- 0.0210
C1 dry,RSS-MPC GT Visibility,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,100.0%,5961.6,40.02 +/- 10.34,29.41 +/- 8.27,2.89 +/- 0.08,2.74 +/- 0.17,0.00 +/- 0.00,0.00 +/- 0.00,1.91 +/- 0.07,0.00 +/- 0.00,0.0070 +/- 0.0040,0.0388 +/- 0.0210,0.0070 +/- 0.0040,0.0388 +/- 0.0210
C1 dry,RSS-MPC GT Friction,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,100.0%,5961.9,40.03 +/- 10.34,29.42 +/- 8.31,2.90 +/- 0.09,2.73 +/- 0.18,0.00 +/- 0.00,0.00 +/- 0.00,1.92 +/- 0.07,0.00 +/- 0.00,0.0069 +/- 0.0041,0.0388 +/- 0.0216,0.0069 +/- 0.0041,0.0388 +/- 0.0216
C1 dry,RSS-MPC Live,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,100.0%,5963.3,40.01 +/- 10.34,29.38 +/- 8.25,2.89 +/- 0.08,2.75 +/- 0.17,0.00 +/- 0.00,0.00 +/- 0.00,1.92 +/- 0.07,0.00 +/- 0.00,0.0072 +/- 0.0040,0.0400 +/- 0.0214,0.0072 +/- 0.0040,0.0400 +/- 0.0214
C1 dry,VLM-RSS-MPC Defense,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,100.0%,5962.2,40.02 +/- 10.32,29.38 +/- 8.26,2.89 +/- 0.08,2.73 +/- 0.20,0.00 +/- 0.00,0.00 +/- 0.00,1.91 +/- 0.07,0.00 +/- 0.00,0.0070 +/- 0.0040,0.0382 +/- 0.0205,0.0070 +/- 0.0040,0.0382 +/- 0.0205
C2 wet,RSS-MPC Fixed,17/18,94.4%,0.0%,5.6%,0.000,0.168,450.4 +/- 0.0,100.0%,5944.0,39.29 +/- 10.48,30.65 +/- 8.62,2.66 +/- 0.05,2.73 +/- 0.18,0.00 +/- 0.00,0.00 +/- 0.00,1.80 +/- 0.06,0.00 +/- 0.00,0.0184 +/- 0.0163,0.1799 +/- 0.1885,0.0196 +/- 0.0166,0.2046 +/- 0.2094
C2 wet,RSS-MPC GT Visibility,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,99.5%,5882.9,36.63 +/- 9.83,38.32 +/- 9.13,7.29 +/- 0.25,4.56 +/- 0.14,0.00 +/- 0.00,0.00 +/- 0.00,-0.48 +/- 1.23,0.49 +/- 0.53,0.0100 +/- 0.0084,0.0888 +/- 0.1217,0.0100 +/- 0.0084,0.0888 +/- 0.1217
C2 wet,RSS-MPC GT Friction,17/18,94.4%,0.0%,5.6%,0.000,0.169,436.4 +/- 0.0,100.0%,5931.4,38.56 +/- 10.13,31.81 +/- 8.96,2.73 +/- 0.08,2.97 +/- 0.22,0.00 +/- 0.00,0.00 +/- 0.00,1.72 +/- 0.14,0.00 +/- 0.00,0.0106 +/- 0.0069,0.0654 +/- 0.0451,0.0112 +/- 0.0072,0.0774 +/- 0.0662
C2 wet,RSS-MPC Live,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,99.6%,5884.1,35.63 +/- 9.47,40.79 +/- 10.21,7.27 +/- 0.48,4.73 +/- 0.17,0.00 +/- 0.00,0.00 +/- 0.00,-0.87 +/- 1.50,0.72 +/- 0.72,0.0083 +/- 0.0070,0.0432 +/- 0.0314,0.0083 +/- 0.0070,0.0432 +/- 0.0314
C2 wet,VLM-RSS-MPC Defense,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,99.6%,5886.0,35.64 +/- 9.46,40.79 +/- 10.27,7.21 +/- 0.51,4.76 +/- 0.17,0.00 +/- 0.00,0.00 +/- 0.00,-1.28 +/- 1.69,0.74 +/- 0.65,0.0083 +/- 0.0071,0.0407 +/- 0.0298,0.0083 +/- 0.0071,0.0407 +/- 0.0298
C3 snow,RSS-MPC Fixed,9/18,50.0%,0.0%,50.0%,0.000,1.615,437.1 +/- 3.4,94.1%,5571.0,28.79 +/- 0.20,29.84 +/- 5.04,2.52 +/- 0.15,2.88 +/- 0.65,0.00 +/- 0.00,2.05 +/- 4.60,4.93 +/- 7.67,0.60 +/- 1.36,0.0054 +/- 0.0045,0.0385 +/- 0.0300,0.0451 +/- 0.0399,0.7206 +/- 0.6831
