method,condition,n_success,success_rate,collision_rate,failure_rate,collision_rate_per_km,failure_rate_per_km,distance_to_failure_m,completion_rate,distance_traveled_m,mean_speed_kph,mean_front_gap_m,min_front_gap_m,min_ttc_s,ttc_under_1s_rate,ttc_under_2s_rate,min_rss_margin_lon_m,rss_lon_violation_rate,success_mean_abs_lateral_error_m,success_max_abs_lateral_error_m,all_mean_abs_lateral_error_m,all_max_abs_lateral_error_m
Base MPC,C1 dry,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,100.0%,5968.3,41.94 +/- 11.53,29.48 +/- 8.94,2.58 +/- 0.34,1.51 +/- 0.42,0.25 +/- 0.47,7.97 +/- 1.16,n/a,0.00 +/- 0.00,0.0074 +/- 0.0041,0.0359 +/- 0.0216,0.0074 +/- 0.0041,0.0359 +/- 0.0216
Base MPC,C2 wet,9/18,50.0%,0.0%,50.0%,0.000,1.501,484.1 +/- 8.6,100.0%,5996.2,30.93 +/- 1.16,24.71 +/- 4.08,2.51 +/- 0.05,0.96 +/- 0.89,2.71 +/- 2.74,9.19 +/- 1.25,n/a,0.00 +/- 0.00,0.0048 +/- 0.0038,0.0406 +/- 0.0305,0.0155 +/- 0.0126,0.0676 +/- 0.0452
Base MPC,C3 snow,1/18,5.6%,0.0%,94.4%,0.000,2.847,322.2 +/- 146.8,100.0%,5972.1,55.27 +/- 0.00,63.94 +/- 0.00,0.03 +/- 0.00,0.37 +/- 0.56,5.53 +/- 2.76,11.84 +/- 5.02,n/a,0.00 +/- 0.00,0.0881 +/- 0.0000,0.3883 +/- 0.0000,0.0583 +/- 0.0313,0.6450 +/- 0.5321
RSS-MPC Fixed,C1 dry,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,100.0%,5962.1,40.02 +/- 10.33,29.38 +/- 8.26,2.89 +/- 0.08,2.72 +/- 0.21,0.00 +/- 0.00,0.00 +/- 0.00,1.92 +/- 0.07,0.00 +/- 0.00,0.0070 +/- 0.0040,0.0389 +/- 0.0210,0.0070 +/- 0.0040,0.0389 +/- 0.0210
RSS-MPC Fixed,C2 wet,17/18,94.4%,0.0%,5.6%,0.000,0.168,450.4 +/- 0.0,100.0%,5944.0,39.29 +/- 10.48,30.65 +/- 8.62,2.66 +/- 0.05,2.73 +/- 0.18,0.00 +/- 0.00,0.00 +/- 0.00,1.80 +/- 0.06,0.00 +/- 0.00,0.0184 +/- 0.0163,0.1799 +/- 0.1885,0.0196 +/- 0.0166,0.2046 +/- 0.2094
RSS-MPC Fixed,C3 snow,9/18,50.0%,0.0%,50.0%,0.000,1.615,437.1 +/- 3.4,94.1%,5571.0,28.79 +/- 0.20,29.84 +/- 5.04,2.52 +/- 0.15,2.88 +/- 0.65,0.00 +/- 0.00,2.05 +/- 4.60,4.93 +/- 7.67,0.60 +/- 1.36,0.0054 +/- 0.0045,0.0385 +/- 0.0300,0.0451 +/- 0.0399,0.7206 +/- 0.6831
RSS-MPC GT,C1 dry,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,100.0%,5962.6,39.99 +/- 10.34,29.39 +/- 8.26,2.89 +/- 0.09,2.75 +/- 0.16,0.00 +/- 0.00,0.00 +/- 0.00,1.91 +/- 0.07,0.00 +/- 0.00,0.0071 +/- 0.0040,0.0392 +/- 0.0215,0.0071 +/- 0.0040,0.0392 +/- 0.0215
RSS-MPC GT,C2 wet,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,99.4%,5879.1,35.67 +/- 9.51,41.05 +/- 10.33,7.46 +/- 0.27,4.77 +/- 0.16,0.00 +/- 0.00,0.00 +/- 0.00,-0.84 +/- 1.61,0.60 +/- 0.65,0.0083 +/- 0.0072,0.0433 +/- 0.0335,0.0083 +/- 0.0072,0.0433 +/- 0.0335
RSS-MPC GT,C3 snow,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,99.7%,5903.0,30.84 +/- 6.53,57.35 +/- 21.15,5.99 +/- 0.27,4.72 +/- 0.13,0.00 +/- 0.00,0.00 +/- 0.00,1.17 +/- 0.21,0.00 +/- 0.00,0.0299 +/- 0.0279,0.0878 +/- 0.0708,0.0299 +/- 0.0279,0.0878 +/- 0.0708
RSS-MPC Live,C1 dry,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,100.0%,5963.3,40.01 +/- 10.34,29.38 +/- 8.25,2.89 +/- 0.08,2.75 +/- 0.17,0.00 +/- 0.00,0.00 +/- 0.00,1.92 +/- 0.07,0.00 +/- 0.00,0.0072 +/- 0.0040,0.0400 +/- 0.0214,0.0072 +/- 0.0040,0.0400 +/- 0.0214
RSS-MPC Live,C2 wet,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,99.5%,5884.1,35.63 +/- 9.47,40.79 +/- 10.21,7.27 +/- 0.48,4.73 +/- 0.17,0.00 +/- 0.00,0.00 +/- 0.00,-0.87 +/- 1.50,0.72 +/- 0.72,0.0083 +/- 0.0070,0.0432 +/- 0.0314,0.0083 +/- 0.0070,0.0432 +/- 0.0314
RSS-MPC Live,C3 snow,10/18,55.6%,0.0%,44.4%,0.000,1.985,243.3 +/- 40.3,68.1%,4029.5,25.75 +/- 4.26,40.31 +/- 10.57,6.20 +/- 0.16,16.51 +/- 13.07,0.00 +/- 0.00,0.00 +/- 0.00,-3.01 +/- 19.56,1.46 +/- 3.14,0.0068 +/- 0.0142,0.0321 +/- 0.0444,0.0420 +/- 0.0425,0.6478 +/- 0.6940
