town,speed,scenario_id,scenario_label,n_steps,n_vlm_calls,calls_per_100_steps,deadline_missed_rate,mean_inference_ms,active_step_rate,road_surface_accuracy,weather_accuracy,time_of_day_accuracy,illumination_assistance_accuracy,overall_accuracy
town03,40kph,C1_nominal,C1 nominal,1318,18,1.4,100.0%,2556,85.0%,100.0%,100.0%,100.0%,100.0%,100.0%
town03,40kph,C2_moderate_adverse,C2 moderate adverse,1487,21,1.4,100.0%,2706,86.9%,100.0%,100.0%,100.0%,95.2%,95.2%
town03,40kph,C3_severe_adverse,C3 severe adverse,1598,39,2.4,100.0%,2656,95.4%,100.0%,100.0%,100.0%,100.0%,100.0%
town03,50kph,C1_nominal,C1 nominal,1301,18,1.4,100.0%,2536,85.2%,100.0%,100.0%,100.0%,100.0%,100.0%
town03,50kph,C2_moderate_adverse,C2 moderate adverse,1432,21,1.5,100.0%,2707,86.7%,100.0%,100.0%,100.0%,95.2%,95.2%
town03,50kph,C3_severe_adverse,C3 severe adverse,1569,39,2.5,100.0%,2656,95.3%,100.0%,100.0%,100.0%,100.0%,100.0%
town03,60kph,C1_nominal,C1 nominal,1350,18,1.3,100.0%,2535,86.1%,100.0%,100.0%,100.0%,100.0%,100.0%
town03,60kph,C2_moderate_adverse,C2 moderate adverse,1456,21,1.4,100.0%,2696,87.2%,100.0%,90.5%,100.0%,90.5%,85.7%
town03,60kph,C3_severe_adverse,C3 severe adverse,1581,39,2.5,100.0%,2661,95.3%,100.0%,100.0%,100.0%,100.0%,100.0%
town04,70kph,C1_nominal,C1 nominal,2059,30,1.5,100.0%,2538,91.5%,100.0%,100.0%,100.0%,100.0%,100.0%
town04,70kph,C2_moderate_adverse,C2 moderate adverse,2329,36,1.5,100.0%,2710,92.3%,100.0%,100.0%,100.0%,97.2%,97.2%
town04,70kph,C3_severe_adverse,C3 severe adverse,1250,32,2.6,100.0%,2638,94.9%,84.4%,100.0%,100.0%,96.9%,81.2%
town04,80kph,C1_nominal,C1 nominal,2044,30,1.5,100.0%,2535,91.3%,100.0%,100.0%,100.0%,100.0%,100.0%
town04,80kph,C2_moderate_adverse,C2 moderate adverse,2262,33,1.5,100.0%,2699,92.1%,100.0%,93.9%,100.0%,97.0%,90.9%
town04,80kph,C3_severe_adverse,C3 severe adverse,1602,40,2.5,100.0%,2642,95.9%,90.0%,100.0%,100.0%,97.5%,87.5%
town04,90kph,C1_nominal,C1 nominal,2088,30,1.4,100.0%,2535,91.5%,100.0%,100.0%,100.0%,100.0%,100.0%
town04,90kph,C2_moderate_adverse,C2 moderate adverse,2273,33,1.5,100.0%,2699,92.1%,100.0%,90.9%,100.0%,97.0%,87.9%
town04,90kph,C3_severe_adverse,C3 severe adverse,1162,30,2.6,100.0%,2635,94.6%,83.3%,100.0%,100.0%,96.7%,80.0%
