field,town,speed,scenario_id,scenario_label,expected,predicted,correct,count
illumination_assistance,town03,40kph,C1_nominal,C1 nominal,none,none,yes,18
illumination_assistance,town03,40kph,C2_moderate_adverse,C2 moderate adverse,partial,partial,yes,20
illumination_assistance,town03,40kph,C2_moderate_adverse,C2 moderate adverse,partial,strong,no,1
illumination_assistance,town03,40kph,C3_severe_adverse,C3 severe adverse,strong,strong,yes,39
illumination_assistance,town03,50kph,C1_nominal,C1 nominal,none,none,yes,18
illumination_assistance,town03,50kph,C2_moderate_adverse,C2 moderate adverse,partial,partial,yes,20
illumination_assistance,town03,50kph,C2_moderate_adverse,C2 moderate adverse,partial,strong,no,1
illumination_assistance,town03,50kph,C3_severe_adverse,C3 severe adverse,strong,strong,yes,39
illumination_assistance,town03,60kph,C1_nominal,C1 nominal,none,none,yes,18
illumination_assistance,town03,60kph,C2_moderate_adverse,C2 moderate adverse,partial,partial,yes,19
illumination_assistance,town03,60kph,C2_moderate_adverse,C2 moderate adverse,partial,strong,no,2
illumination_assistance,town03,60kph,C3_severe_adverse,C3 severe adverse,strong,strong,yes,39
illumination_assistance,town04,70kph,C1_nominal,C1 nominal,none,none,yes,30
illumination_assistance,town04,70kph,C2_moderate_adverse,C2 moderate adverse,partial,partial,yes,35
illumination_assistance,town04,70kph,C2_moderate_adverse,C2 moderate adverse,partial,strong,no,1
illumination_assistance,town04,70kph,C3_severe_adverse,C3 severe adverse,strong,partial,no,1
illumination_assistance,town04,70kph,C3_severe_adverse,C3 severe adverse,strong,strong,yes,31
illumination_assistance,town04,80kph,C1_nominal,C1 nominal,none,none,yes,30
illumination_assistance,town04,80kph,C2_moderate_adverse,C2 moderate adverse,partial,partial,yes,32
illumination_assistance,town04,80kph,C2_moderate_adverse,C2 moderate adverse,partial,strong,no,1
illumination_assistance,town04,80kph,C3_severe_adverse,C3 severe adverse,strong,partial,no,1
illumination_assistance,town04,80kph,C3_severe_adverse,C3 severe adverse,strong,strong,yes,39
illumination_assistance,town04,90kph,C1_nominal,C1 nominal,none,none,yes,30
illumination_assistance,town04,90kph,C2_moderate_adverse,C2 moderate adverse,partial,partial,yes,32
illumination_assistance,town04,90kph,C2_moderate_adverse,C2 moderate adverse,partial,strong,no,1
illumination_assistance,town04,90kph,C3_severe_adverse,C3 severe adverse,strong,partial,no,1
illumination_assistance,town04,90kph,C3_severe_adverse,C3 severe adverse,strong,strong,yes,29
road_surface,town03,40kph,C1_nominal,C1 nominal,dry,dry,yes,18
road_surface,town03,40kph,C2_moderate_adverse,C2 moderate adverse,wet,wet,yes,21
road_surface,town03,40kph,C3_severe_adverse,C3 severe adverse,snow_slush,snow_slush,yes,39
road_surface,town03,50kph,C1_nominal,C1 nominal,dry,dry,yes,18
road_surface,town03,50kph,C2_moderate_adverse,C2 moderate adverse,wet,wet,yes,21
road_surface,town03,50kph,C3_severe_adverse,C3 severe adverse,snow_slush,snow_slush,yes,39
road_surface,town03,60kph,C1_nominal,C1 nominal,dry,dry,yes,18
road_surface,town03,60kph,C2_moderate_adverse,C2 moderate adverse,wet,wet,yes,21
road_surface,town03,60kph,C3_severe_adverse,C3 severe adverse,snow_slush,snow_slush,yes,39
road_surface,town04,70kph,C1_nominal,C1 nominal,dry,dry,yes,30
road_surface,town04,70kph,C2_moderate_adverse,C2 moderate adverse,wet,wet,yes,36
road_surface,town04,70kph,C3_severe_adverse,C3 severe adverse,snow_slush,dry,no,5
road_surface,town04,70kph,C3_severe_adverse,C3 severe adverse,snow_slush,snow_slush,yes,27
road_surface,town04,80kph,C1_nominal,C1 nominal,dry,dry,yes,30
road_surface,town04,80kph,C2_moderate_adverse,C2 moderate adverse,wet,wet,yes,33
road_surface,town04,80kph,C3_severe_adverse,C3 severe adverse,snow_slush,dry,no,4
road_surface,town04,80kph,C3_severe_adverse,C3 severe adverse,snow_slush,snow_slush,yes,36
road_surface,town04,90kph,C1_nominal,C1 nominal,dry,dry,yes,30
road_surface,town04,90kph,C2_moderate_adverse,C2 moderate adverse,wet,wet,yes,33
road_surface,town04,90kph,C3_severe_adverse,C3 severe adverse,snow_slush,dry,no,5
road_surface,town04,90kph,C3_severe_adverse,C3 severe adverse,snow_slush,snow_slush,yes,25
time_of_day,town03,40kph,C1_nominal,C1 nominal,day,day,yes,18
time_of_day,town03,40kph,C2_moderate_adverse,C2 moderate adverse,night,night,yes,21
time_of_day,town03,40kph,C3_severe_adverse,C3 severe adverse,night,night,yes,39
time_of_day,town03,50kph,C1_nominal,C1 nominal,day,day,yes,18
time_of_day,town03,50kph,C2_moderate_adverse,C2 moderate adverse,night,night,yes,21
time_of_day,town03,50kph,C3_severe_adverse,C3 severe adverse,night,night,yes,39
time_of_day,town03,60kph,C1_nominal,C1 nominal,day,day,yes,18
time_of_day,town03,60kph,C2_moderate_adverse,C2 moderate adverse,night,night,yes,21
time_of_day,town03,60kph,C3_severe_adverse,C3 severe adverse,night,night,yes,39
time_of_day,town04,70kph,C1_nominal,C1 nominal,day,day,yes,30
time_of_day,town04,70kph,C2_moderate_adverse,C2 moderate adverse,night,night,yes,36
time_of_day,town04,70kph,C3_severe_adverse,C3 severe adverse,night,night,yes,32
time_of_day,town04,80kph,C1_nominal,C1 nominal,day,day,yes,30
time_of_day,town04,80kph,C2_moderate_adverse,C2 moderate adverse,night,night,yes,33
time_of_day,town04,80kph,C3_severe_adverse,C3 severe adverse,night,night,yes,40
time_of_day,town04,90kph,C1_nominal,C1 nominal,day,day,yes,30
time_of_day,town04,90kph,C2_moderate_adverse,C2 moderate adverse,night,night,yes,33
time_of_day,town04,90kph,C3_severe_adverse,C3 severe adverse,night,night,yes,30
weather,town03,40kph,C1_nominal,C1 nominal,clear,clear,yes,18
weather,town03,40kph,C2_moderate_adverse,C2 moderate adverse,heavy_rain,heavy_rain,yes,21
weather,town03,40kph,C3_severe_adverse,C3 severe adverse,clear,clear,yes,39
weather,town03,50kph,C1_nominal,C1 nominal,clear,clear,yes,18
weather,town03,50kph,C2_moderate_adverse,C2 moderate adverse,heavy_rain,heavy_rain,yes,21
weather,town03,50kph,C3_severe_adverse,C3 severe adverse,clear,clear,yes,39
weather,town03,60kph,C1_nominal,C1 nominal,clear,clear,yes,18
weather,town03,60kph,C2_moderate_adverse,C2 moderate adverse,heavy_rain,clear,no,2
weather,town03,60kph,C2_moderate_adverse,C2 moderate adverse,heavy_rain,heavy_rain,yes,19
weather,town03,60kph,C3_severe_adverse,C3 severe adverse,clear,clear,yes,39
weather,town04,70kph,C1_nominal,C1 nominal,clear,clear,yes,30
weather,town04,70kph,C2_moderate_adverse,C2 moderate adverse,heavy_rain,heavy_rain,yes,36
weather,town04,70kph,C3_severe_adverse,C3 severe adverse,clear,clear,yes,32
weather,town04,80kph,C1_nominal,C1 nominal,clear,clear,yes,30
weather,town04,80kph,C2_moderate_adverse,C2 moderate adverse,heavy_rain,clear,no,2
weather,town04,80kph,C2_moderate_adverse,C2 moderate adverse,heavy_rain,heavy_rain,yes,31
weather,town04,80kph,C3_severe_adverse,C3 severe adverse,clear,clear,yes,40
weather,town04,90kph,C1_nominal,C1 nominal,clear,clear,yes,30
weather,town04,90kph,C2_moderate_adverse,C2 moderate adverse,heavy_rain,clear,no,3
weather,town04,90kph,C2_moderate_adverse,C2 moderate adverse,heavy_rain,heavy_rain,yes,30
weather,town04,90kph,C3_severe_adverse,C3 severe adverse,clear,clear,yes,30
