town,speed,scenario_id,scenario_label,n_steps,n_vlm_calls,calls_per_100_steps,deadline_missed_rate,mean_inference_ms,active_step_rate,road_surface_accuracy,weather_accuracy,time_of_day_accuracy,illumination_assistance_accuracy,overall_accuracy
town03,40kph,N1_dry_nominal,N1 dry,2091,51,2.4,0.0%,1223,95.3%,100.0%,100.0%,100.0%,100.0%,100.0%
town03,40kph,N2_wet_road,N2 wet,2106,51,2.4,0.0%,1299,95.7%,100.0%,96.1%,100.0%,0.0%,0.0%
town03,40kph,N3_snow_slush,N3 snow,2208,57,2.6,0.0%,1218,98.5%,100.0%,100.0%,100.0%,100.0%,100.0%
town03,50kph,N1_dry_nominal,N1 dry,1692,42,2.5,0.0%,1208,95.0%,100.0%,100.0%,100.0%,100.0%,100.0%
town03,50kph,N2_wet_road,N2 wet,1713,42,2.5,0.0%,1303,94.8%,100.0%,97.6%,100.0%,0.0%,0.0%
town03,50kph,N3_snow_slush,N3 snow,1903,48,2.5,0.0%,1218,98.2%,97.9%,100.0%,100.0%,100.0%,97.9%
town03,60kph,N1_dry_nominal,N1 dry,1431,36,2.5,0.0%,1205,94.2%,100.0%,100.0%,100.0%,100.0%,100.0%
town03,60kph,N2_wet_road,N2 wet,1476,36,2.4,0.0%,1296,93.9%,100.0%,100.0%,100.0%,0.0%,0.0%
town03,60kph,N3_snow_slush,N3 snow,1796,45,2.5,0.0%,1216,98.1%,100.0%,100.0%,100.0%,100.0%,100.0%
town04,70kph,N1_dry_nominal,N1 dry,3354,84,2.5,0.0%,1215,97.6%,100.0%,100.0%,100.0%,100.0%,100.0%
town04,70kph,N2_wet_road,N2 wet,3384,84,2.5,0.0%,1306,97.4%,100.0%,98.8%,100.0%,0.0%,0.0%
town04,70kph,N3_snow_slush,N3 snow,4426,111,2.5,0.0%,1218,99.4%,100.0%,100.0%,100.0%,100.0%,100.0%
town04,80kph,N1_dry_nominal,N1 dry,2952,72,2.4,0.0%,1216,97.3%,100.0%,100.0%,100.0%,100.0%,100.0%
town04,80kph,N2_wet_road,N2 wet,2988,75,2.5,0.0%,1307,97.1%,100.0%,97.3%,100.0%,0.0%,0.0%
town04,80kph,N3_snow_slush,N3 snow,4423,111,2.5,0.0%,1218,99.4%,100.0%,100.0%,100.0%,100.0%,100.0%
town04,90kph,N1_dry_nominal,N1 dry,2646,66,2.5,0.0%,1213,97.0%,100.0%,100.0%,100.0%,100.0%,100.0%
town04,90kph,N2_wet_road,N2 wet,2090,51,2.4,0.0%,1296,95.8%,98.0%,96.1%,100.0%,0.0%,0.0%
town04,90kph,N3_snow_slush,N3 snow,4431,111,2.5,0.0%,1216,99.2%,100.0%,100.0%,100.0%,100.0%,100.0%
