field,town,speed,scenario_id,scenario_label,expected,predicted,correct,count
illumination_assistance,town03,40kph,N1_dry_nominal,N1 dry,none,none,yes,51
illumination_assistance,town03,40kph,N2_wet_road,N2 wet,partial,none,no,51
illumination_assistance,town03,40kph,N3_snow_slush,N3 snow,none,none,yes,57
illumination_assistance,town03,50kph,N1_dry_nominal,N1 dry,none,none,yes,42
illumination_assistance,town03,50kph,N2_wet_road,N2 wet,partial,none,no,42
illumination_assistance,town03,50kph,N3_snow_slush,N3 snow,none,none,yes,48
illumination_assistance,town03,60kph,N1_dry_nominal,N1 dry,none,none,yes,36
illumination_assistance,town03,60kph,N2_wet_road,N2 wet,partial,none,no,36
illumination_assistance,town03,60kph,N3_snow_slush,N3 snow,none,none,yes,45
illumination_assistance,town04,70kph,N1_dry_nominal,N1 dry,none,none,yes,84
illumination_assistance,town04,70kph,N2_wet_road,N2 wet,partial,none,no,84
illumination_assistance,town04,70kph,N3_snow_slush,N3 snow,none,none,yes,111
illumination_assistance,town04,80kph,N1_dry_nominal,N1 dry,none,none,yes,72
illumination_assistance,town04,80kph,N2_wet_road,N2 wet,partial,none,no,75
illumination_assistance,town04,80kph,N3_snow_slush,N3 snow,none,none,yes,111
illumination_assistance,town04,90kph,N1_dry_nominal,N1 dry,none,none,yes,66
illumination_assistance,town04,90kph,N2_wet_road,N2 wet,partial,none,no,51
illumination_assistance,town04,90kph,N3_snow_slush,N3 snow,none,none,yes,111
road_surface,town03,40kph,N1_dry_nominal,N1 dry,dry,dry,yes,51
road_surface,town03,40kph,N2_wet_road,N2 wet,wet,wet,yes,51
road_surface,town03,40kph,N3_snow_slush,N3 snow,snow_slush,snow_slush,yes,57
road_surface,town03,50kph,N1_dry_nominal,N1 dry,dry,dry,yes,42
road_surface,town03,50kph,N2_wet_road,N2 wet,wet,wet,yes,42
road_surface,town03,50kph,N3_snow_slush,N3 snow,snow_slush,dry,no,1
road_surface,town03,50kph,N3_snow_slush,N3 snow,snow_slush,snow_slush,yes,47
road_surface,town03,60kph,N1_dry_nominal,N1 dry,dry,dry,yes,36
road_surface,town03,60kph,N2_wet_road,N2 wet,wet,wet,yes,36
road_surface,town03,60kph,N3_snow_slush,N3 snow,snow_slush,snow_slush,yes,45
road_surface,town04,70kph,N1_dry_nominal,N1 dry,dry,dry,yes,84
road_surface,town04,70kph,N2_wet_road,N2 wet,wet,wet,yes,84
road_surface,town04,70kph,N3_snow_slush,N3 snow,snow_slush,snow_slush,yes,111
road_surface,town04,80kph,N1_dry_nominal,N1 dry,dry,dry,yes,72
road_surface,town04,80kph,N2_wet_road,N2 wet,wet,wet,yes,75
road_surface,town04,80kph,N3_snow_slush,N3 snow,snow_slush,snow_slush,yes,111
road_surface,town04,90kph,N1_dry_nominal,N1 dry,dry,dry,yes,66
road_surface,town04,90kph,N2_wet_road,N2 wet,wet,snow_slush,no,1
road_surface,town04,90kph,N2_wet_road,N2 wet,wet,wet,yes,50
road_surface,town04,90kph,N3_snow_slush,N3 snow,snow_slush,snow_slush,yes,111
time_of_day,town03,40kph,N1_dry_nominal,N1 dry,day,day,yes,51
time_of_day,town03,40kph,N2_wet_road,N2 wet,day,day,yes,51
time_of_day,town03,40kph,N3_snow_slush,N3 snow,day,day,yes,57
time_of_day,town03,50kph,N1_dry_nominal,N1 dry,day,day,yes,42
time_of_day,town03,50kph,N2_wet_road,N2 wet,day,day,yes,42
time_of_day,town03,50kph,N3_snow_slush,N3 snow,day,day,yes,48
time_of_day,town03,60kph,N1_dry_nominal,N1 dry,day,day,yes,36
time_of_day,town03,60kph,N2_wet_road,N2 wet,day,day,yes,36
time_of_day,town03,60kph,N3_snow_slush,N3 snow,day,day,yes,45
time_of_day,town04,70kph,N1_dry_nominal,N1 dry,day,day,yes,84
time_of_day,town04,70kph,N2_wet_road,N2 wet,day,day,yes,84
time_of_day,town04,70kph,N3_snow_slush,N3 snow,day,day,yes,111
time_of_day,town04,80kph,N1_dry_nominal,N1 dry,day,day,yes,72
time_of_day,town04,80kph,N2_wet_road,N2 wet,day,day,yes,75
time_of_day,town04,80kph,N3_snow_slush,N3 snow,day,day,yes,111
time_of_day,town04,90kph,N1_dry_nominal,N1 dry,day,day,yes,66
time_of_day,town04,90kph,N2_wet_road,N2 wet,day,day,yes,51
time_of_day,town04,90kph,N3_snow_slush,N3 snow,day,day,yes,111
weather,town03,40kph,N1_dry_nominal,N1 dry,clear,clear,yes,51
weather,town03,40kph,N2_wet_road,N2 wet,heavy_rain,clear,no,2
weather,town03,40kph,N2_wet_road,N2 wet,heavy_rain,heavy_rain,yes,49
weather,town03,40kph,N3_snow_slush,N3 snow,clear,clear,yes,57
weather,town03,50kph,N1_dry_nominal,N1 dry,clear,clear,yes,42
weather,town03,50kph,N2_wet_road,N2 wet,heavy_rain,clear,no,1
weather,town03,50kph,N2_wet_road,N2 wet,heavy_rain,heavy_rain,yes,41
weather,town03,50kph,N3_snow_slush,N3 snow,clear,clear,yes,48
weather,town03,60kph,N1_dry_nominal,N1 dry,clear,clear,yes,36
weather,town03,60kph,N2_wet_road,N2 wet,heavy_rain,heavy_rain,yes,36
weather,town03,60kph,N3_snow_slush,N3 snow,clear,clear,yes,45
weather,town04,70kph,N1_dry_nominal,N1 dry,clear,clear,yes,84
weather,town04,70kph,N2_wet_road,N2 wet,heavy_rain,clear,no,1
