Condition,Controller,Success (%),Mean gap (m),Min clearance (m),Mean |e_y| (m)
L1 clear day,Base MPC,100.00,23.8 +/- 4.2,0.719 +/- 0.029,0.0195 +/- 0.0112
,VLM-MPC,100.00,50.7 +/- 13.2,n/a,n/a
,Fixed-Envelope MPC,100.00,23.9 +/- 6.3,0.723 +/- 0.035,0.0188 +/- 0.0107
,VLM-CASE-MPC (Ours),100.00,24.0 +/- 6.3,0.725 +/- 0.032,0.0187 +/- 0.0106
L2 fog day,Base MPC,100.00,23.7 +/- 4.2,0.717 +/- 0.032,0.0194 +/- 0.0114
,VLM-MPC,100.00,51.3 +/- 13.8,n/a,n/a
,Fixed-Envelope MPC,100.00,23.8 +/- 6.1,0.722 +/- 0.035,0.0189 +/- 0.0108
,VLM-CASE-MPC (Ours),100.00,41.3 +/- 10.3,0.718 +/- 0.030,0.0184 +/- 0.0094
L3 night strong,Base MPC,100.00,23.8 +/- 4.2,0.717 +/- 0.032,0.0197 +/- 0.0113
,VLM-MPC,100.00,50.6 +/- 12.7,n/a,n/a
,Fixed-Envelope MPC,100.00,24.2 +/- 6.1,0.719 +/- 0.034,0.0187 +/- 0.0107
,VLM-CASE-MPC (Ours),100.00,38.7 +/- 9.9,0.719 +/- 0.028,0.0186 +/- 0.0095
L4 night partial,Base MPC,100.00,23.8 +/- 4.2,0.719 +/- 0.030,0.0195 +/- 0.0111
,VLM-MPC,100.00,51.2 +/- 12.8,n/a,n/a
,Fixed-Envelope MPC,100.00,23.9 +/- 6.1,0.722 +/- 0.033,0.0190 +/- 0.0106
,VLM-CASE-MPC (Ours),100.00,44.2 +/- 10.3,0.722 +/- 0.028,0.0180 +/- 0.0095
L5 night none,Base MPC,100.00,23.8 +/- 4.1,0.717 +/- 0.031,0.0195 +/- 0.0113
,VLM-MPC,100.00,51.4 +/- 13.7,n/a,n/a
,Fixed-Envelope MPC,100.00,24.0 +/- 6.4,0.720 +/- 0.033,0.0189 +/- 0.0106
,VLM-CASE-MPC (Ours),100.00,47.6 +/- 12.0,0.719 +/- 0.028,0.0184 +/- 0.0088
