Condition,Controller,Success (%),Failure/km,Min TTC (s),Min clearance (m),Mean |e_y| (m)
C1 dry,Fixed-Envelope MPC,100.00,0.00,2.72 +/- 0.21,0.761 +/- 0.021,0.0070 +/- 0.0040
,Visibility-only adaptation,100.00,0.00,2.74 +/- 0.17,0.761 +/- 0.021,0.0070 +/- 0.0040
,Friction-only adaptation,100.00,0.00,2.73 +/- 0.18,0.761 +/- 0.022,0.0069 +/- 0.0041
,VLM-CASE-MPC (Ours),100.00,0.00,2.73 +/- 0.20,0.762 +/- 0.020,0.0070 +/- 0.0040
C2 wet,Fixed-Envelope MPC,94.44,0.17,2.71 +/- 0.18,0.595 +/- 0.209,0.0196 +/- 0.0166
,Visibility-only adaptation,100.00,0.00,4.56 +/- 0.14,0.711 +/- 0.122,0.0100 +/- 0.0084
,Friction-only adaptation,94.44,0.17,2.93 +/- 0.11,0.723 +/- 0.066,0.0112 +/- 0.0072
,VLM-CASE-MPC (Ours),100.00,0.00,4.76 +/- 0.17,0.759 +/- 0.030,0.0083 +/- 0.0071
C3 snow,Fixed-Envelope MPC,50.00,1.62,2.39 +/- 0.57,0.079 +/- 0.683,0.0451 +/- 0.0399
,Visibility-only adaptation,50.00,1.67,3.53 +/- 0.40,0.108 +/- 0.666,0.0419 +/- 0.0387
,Friction-only adaptation,100.00,0.00,3.56 +/- 0.12,0.708 +/- 0.068,0.0332 +/- 0.0296
,VLM-CASE-MPC (Ours),100.00,0.00,4.72 +/- 0.13,0.712 +/- 0.071,0.0300 +/- 0.0281
